,processed,nonprocessed
1549,conclusions two ahbv lots equivalent immunogenicity lot b elicited faster onset seroprotection higher antihbs titers lot ahbv asian population,"CONCLUSIONS: The two 3A-HBV lots had equivalent immunogenicity, but lot B elicited faster onset of seroprotection and higher anti-HBs titers than both lot A and 1A-HBV in an Asian population."
1550,supports ahbv lot b effective choice hbv vaccination favorable safety profile,"This supports 3A-HBV lot B as an effective choice for HBV vaccination, with a favorable safety profile."
1551,clinicaltrialsgov nct,ClinicalTrials.gov: NCT04531098.
1552,hepatitis b virus hbv vaccination patterns understanding risks among healthcare workers hcws critical step decrease transmission,Hepatitis B virus (HBV) vaccination patterns and the understanding of its risks among healthcare workers (HCWs) is a critical step to decrease transmission.
1553,however depth understanding understudied,"However, the depth of this understanding is understudied."
1554,distributed surveys hcws countries africa,We distributed surveys to HCWs in 12 countries in Africa.
1555,surveys nine multiplechoice questions assessed hcws awareness understanding hbv,Surveys had nine multiple-choice questions that assessed HCWs' awareness and understanding of HBV.
1556,participants included consultants medical trainees nurses students laboratory personnel hospital workers,"Participants included consultants, medical trainees, nurses, students, laboratory personnel, and other hospital workers."
1557,surveys completed anonymously,Surveys were completed anonymously.
1558,fishers exact test used analysis pvalue considered significant surveys collected kenya egypt sudan tanzania ethiopia uganda malawi madagascar nigeria cameroon ghana sierra leone,"Fisher's exact test was used for analysis, with a P-value of < 0.05 considered significant; 1,044 surveys were collected from Kenya, Egypt, Sudan, Tanzania, Ethiopia, Uganda, Malawi, Madagascar, Nigeria, Cameroon, Ghana, and Sierra Leone."
1559,hepatitis b virus serostatus awareness vaccination rate vaccination hcws children respectively,"Hepatitis B virus serostatus awareness, vaccination rate, and vaccination of HCWs' children were 65%, 61%, and 48%, respectively."
1560,medical trainees higher serostatus awareness vaccination rate vaccination children hcws occupations versus p versus p versus p respectively,"Medical trainees had higher serostatus awareness, vaccination rate, and vaccination of their children than HCWs in other occupations (79% versus 62%, P < 0.001; 74% versus 58%, P < 0.001; and 62% versus 45%, P = 0.006, respectively)."
1561,cost cited frequent reason nonvaccination,Cost was cited as the most frequent reason for non-vaccination.
1562,west african countries aware serostatus less often vaccinated east african countries versus p versus p respectively,"West African countries were more aware of their serostatus but less often vaccinated than East African countries (79% versus 59%, P < 0.0001 and 52% versus 60%, P = 0.03, respectively)."
1563,west african countries cited cost reason nonvaccination east african countries versus p,"West African countries cited cost as the reason for non-vaccination more than East African countries (59% versus 40%, P = 0.0003)."
1564,study shows low hbv serostatus awareness vaccination rate among hcws africa reveals gaps perception understanding hbv prevention addressed protect hcws improve capacity control hbv infection,"Our study shows low HBV serostatus awareness and vaccination rate among HCWs in Africa, and reveals gaps in the perception and understanding of HBV prevention that should be addressed to protect HCWs and improve their capacity to control HBV infection."
1565,objective assess prevalence predictors hepatitis b immune status among adolescents young adults aya seeking outpatient medication treatment opioid use disorder moud,OBJECTIVE: To assess prevalence and predictors of hepatitis B immune status among adolescents and young adults (AYA) seeking outpatient medication treatment for opioid use disorder (MOUD).
1566,study design retrospective medical chart review conducted aya seeking moud january december,"STUDY DESIGN: A retrospective medical chart review was conducted of AYA seeking MOUD between January 1, 2013 through December 31, 2015."
1567,inclusion criteria included diagnosis opioid use disorder according diagnostic statistical manual mental disorders fifth edition received hepatitis serologic testing evidence prior current hepatitis b infection,"Inclusion criteria included: diagnosis of opioid use disorder according to the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition; received hepatitis serologic testing; and no evidence of prior or current hepatitis B infection."
1568,hepatitis b immunization initiation defined record least hepatitis b vaccination receipt least vaccinations indicated immunization completion,Hepatitis B immunization initiation was defined as a record of at least 1 hepatitis B vaccination; while receipt of at least 3 vaccinations indicated immunization completion.
1569,presence hepatitis b surface antibody antihbs primary outcome measure,The presence of hepatitis B surface antibody (anti-HBs) was the primary outcome measure.
1570,results patients met eligibility criteria presence antihbs evident,"RESULTS: Of the 193 patients that met eligibility criteria, the presence of anti-HBs was evident in 62 (32.1%)."
1571,hepatitis b immunization initiation completion presenting moud documented,Hepatitis B immunization initiation and completion before presenting for MOUD was documented in 102 (52.9%) and 84 (43.5%).
1572,multivariable logistic regression modeling hepatitis b immunization initiation infancy associated increased odds protective antihbs relative immunization series initiation infancy ci,"In multivariable logistic regression modeling, hepatitis B immunization initiation after infancy was associated with increased odds of having protective anti-HBs relative to immunization series initiation in infancy (OR 8.96, 95% CI 1.57-51.05)."
1573,completion hepatitis b immunization series infancy compared completion infancy also increased odds protective antihbs ci,"Completion of hepatitis B immunization series after infancy as compared to completion in infancy also increased the odds of protective anti-HBs (OR, 6.68, 95% CI 2.10-21.24)."
1574,conclusions rates immunity hepatitis b low aya seeking moud,CONCLUSIONS: Rates of immunity to hepatitis B were low in AYA seeking MOUD.
1575,important immunize patients seeking moud hepatitis b follow checks seroconversion,It is important to immunize patients seeking MOUD for hepatitis B and follow up with checks for seroconversion.
1576,hepatitis b virus hbv poses major global health burden million people chronically infected dying annually complications course infection,"Hepatitis B virus (HBV) poses a major global health burden with 260 million people being chronically infected and 890,000 dying annually from complications in the course of the infection."
